CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
37358	39587	17	0.9763	-149.105
30713	37358	17	0.9694	-176.105
31613	37358	17	0.9873	-132.079
6999	19188	17	0.9407	17.026
18580	19188	17	0.9429	-44.026
11109	18246	17	0.9505	14.016
4467	11109	17	0.9475	-14.016
34425	39430	17	0.9711	-149.105
34847	39430	17	0.9957	-88.053
36690	39430	17	0.9991	-44.026
39430	39587	17	0.9986	-44.026
39430	42247	17	0.9859	-176.105
25593	39430	17	0.9877	-176.105
32701	39430	17	0.9904	-132.079
34425	39587	17	0.9714	-193.132
34847	39587	17	0.9934	-132.079
36690	39587	17	0.9973	-88.053
38705	39587	17	0.9735	-105.079
39587	42247	17	0.9887	-132.078
32701	39587	17	0.9871	-176.105
4467	6999	17	0.9526	-44.026
4467	18246	17	0.9976	0.000
4467	18580	17	0.9525	17.027
4467	21853	17	0.9487	30.011
33065	34425	17	0.9939	-44.026
34425	34847	17	0.9748	-61.052
34425	36690	17	0.9719	-105.079
34425	38705	17	0.9819	-88.053
30713	34425	17	0.9733	-132.079
31613	34425	17	0.9925	-88.052
32701	34425	17	0.9731	17.026
12576	17394	17	0.9695	30.010
15066	17394	17	0.9424	44.026
25593	31568	17	0.9982	44.026
27090	31568	17	0.9755	-88.052
30015	31568	17	0.9971	-44.026
31568	31613	17	0.9681	17.026
31568	32701	17	0.997	-88.052
31568	33065	17	0.9675	-27.000
31568	34847	17	0.9925	-132.079
31568	36690	17	0.9884	-176.105
25593	32701	17	0.9993	-44.026
27090	32701	17	0.9747	-176.105
30015	32701	17	0.9934	-132.079
32701	33065	17	0.9709	61.052
32701	34847	17	0.9977	-44.026
32701	36690	17	0.9942	-88.053
9321	13591	17	0.9494	102.031
12576	13591	17	0.9644	-17.027
13591	21853	17	0.9621	-14.016
34847	36690	17	0.9976	-44.026
25593	36690	17	0.9922	-132.079
12148	24361	17	0.9639	44.027
6999	8695	17	0.9848	-44.026
6999	18246	17	0.9544	44.026
15066	21853	17	0.9489	-17.027
18246	21853	17	0.9492	30.010
12576	15066	17	0.9591	-14.016
9321	27090	17	0.98	-44.027
25593	27090	17	0.9749	132.078
27090	30015	17	0.9778	-44.026
12148	31613	17	0.9674	-88.052
25593	31613	17	0.969	61.052
30713	31613	17	0.98	-44.026
31613	33065	17	0.9935	-44.026
31613	38705	17	0.9736	-176.105
12148	30713	17	0.9677	-44.026
30713	33065	17	0.9756	-88.053
9321	30015	17	0.9639	-88.053
25593	30015	17	0.9959	88.052
30015	34847	17	0.9889	-176.105
15066	18580	17	0.948	-30.010
18246	18580	17	0.9562	17.027
33065	38705	17	0.9781	-132.079
25593	33065	17	0.9695	17.026
25593	34847	17	0.9961	-88.053
9321	21114	17	0.9521	44.026
68931	69685	18	0.9696	132.078
68949	69685	18	0.981	88.052
68979	69685	18	0.9912	44.026
69005	69685	18	0.9669	-88.053
69164	69685	18	0.9874	-44.026
69685	73737	18	0.9589	-176.104
61877	69685	18	0.9373	-14.016
51810	61877	18	0.9128	-88.053
60459	61877	18	0.9636	88.052
61350	61877	18	0.9666	-44.026
61877	63006	18	0.9275	-176.105
61877	63506	18	0.9808	-44.026
61877	64643	18	0.9399	-132.078
51810	61350	18	0.953	-44.027
60459	61350	18	0.9154	132.079
61350	63506	18	0.9394	-88.052
61350	64643	18	0.8892	-176.104
61350	69164	18	0.9368	-14.016
37938	38002	18	0.8832	149.106
38002	40794	18	0.8785	-193.132
38002	72011	18	0.7982	-21.109
27822	38002	18	0.8927	105.080
32680	38002	18	0.9595	-44.026
53881	66109	18	0.896	-14.052
63793	66109	18	0.914	30.011
66109	69606	18	0.9306	176.105
66109	71003	18	0.9571	132.079
66109	71385	18	0.9685	88.052
66109	71408	18	0.9861	44.026
66109	77381	18	0.8886	118.063
66109	82606	18	0.8939	74.036
53881	63884	18	0.9706	-132.078
76584	82606	18	0.8955	-0.036
77381	82606	18	0.9681	-44.027
78666	82606	18	0.9557	-88.053
71385	82606	18	0.9006	-14.016
71408	82606	18	0.9057	30.011
27822	32680	18	0.8846	149.106
27822	37938	18	0.9656	-44.026
27822	40719	18	0.8823	-14.015
27822	40794	18	0.9602	-88.052
27822	41633	18	0.9227	-132.078
27822	58843	18	0.8273	-75.020
73737	76078	18	0.947	-98.074
76078	76553	18	0.9603	44.026
76078	80619	18	0.8769	88.053
53881	76078	18	0.8716	-42.047
62479	76078	18	0.9192	-28.031
63006	76078	18	0.9291	-112.089
66078	76078	18	0.8773	-42.010
60459	63006	18	0.9837	-88.053
60459	63506	18	0.9823	44.026
60459	64191	18	0.9731	-132.079
60459	64248	18	0.9149	-84.058
60459	64643	18	0.9883	-44.026
60459	68949	18	0.9398	-14.016
66137	66596	18	0.9607	44.026
66289	66596	18	0.9544	-44.026
66596	69606	18	0.9645	-14.015
66596	70527	18	0.8848	30.011
59009	66596	18	0.9333	132.078
59009	63793	18	0.9749	-88.052
59009	66137	18	0.9544	88.052
59009	66289	18	0.9002	176.105
59009	71385	18	0.9236	30.010
59009	71408	18	0.9634	-14.016
63006	63506	18	0.9621	132.079
63506	64191	18	0.9447	-176.105
63506	64643	18	0.9713	-88.052
63506	65185	18	0.9017	-84.058
63506	68979	18	0.9414	-14.016
53881	63006	18	0.9051	70.042
62479	63006	18	0.9247	84.057
63006	64191	18	0.9906	-44.026
63006	64643	18	0.9879	44.027
63006	66078	18	0.8974	-70.079
63006	73737	18	0.9271	-14.015
66464	73737	18	0.98	132.079
68276	73737	18	0.9925	88.053
68931	73737	18	0.9931	-44.026
68949	73737	18	0.99	-88.052
68977	73737	18	0.9933	44.027
68979	73737	18	0.9797	-132.079
76553	80619	18	0.8677	44.027
63215	63839	18	0.9837	44.027
63839	65216	18	0.9844	44.026
37938	40794	18	0.9663	-44.026
37938	41633	18	0.931	-88.052
32680	37938	18	0.8765	-193.132
63793	66078	18	0.8844	44.025
63793	66137	18	0.936	176.105
66289	70527	18	0.9614	-14.016
69606	70527	18	0.9626	44.026
70527	71003	18	0.9335	-88.052
70527	71385	18	0.9088	-132.079
70527	71408	18	0.9069	-176.105
32680	72011	18	0.8091	-65.135
66464	68977	18	0.9858	88.052
68276	68977	18	0.9952	44.026
68931	68977	18	0.9916	-88.053
68949	68977	18	0.9851	-132.079
68977	68979	18	0.9702	176.105
64191	68977	18	0.9215	-14.015
51810	69005	18	0.93	-14.016
68949	69005	18	0.9247	176.105
68979	69005	18	0.9465	132.079
69005	69164	18	0.9857	-44.026
49656	58843	18	0.9596	-132.079
69606	71408	18	0.9395	-132.079
71003	71408	18	0.9692	-88.053
71385	71408	18	0.9841	-44.026
71408	77381	18	0.902	74.037
66137	66289	18	0.9165	88.053
66137	69606	18	0.9056	30.011
66137	71003	18	0.9499	-14.015
66078	66137	18	0.8737	132.079
64191	64643	18	0.9816	88.053
64643	68931	18	0.939	-14.016
64643	68942	18	0.927	-84.058
64643	76553	18	0.9063	-112.089
73963	74014	18	0.9618	44.026
73963	76584	18	0.9438	176.105
76553	77381	18	0.8541	102.032
76584	77381	18	0.8836	43.990
77381	78666	18	0.9731	44.026
71003	77381	18	0.9137	-14.016
71385	77381	18	0.9064	30.011
48338	50882	18	0.9835	-44.026
48338	58843	18	0.9323	-14.016
35288	48338	18	0.9834	88.053
53881	62479	18	0.9621	-14.016
53881	66078	18	0.9215	-0.037
64112	64191	18	0.9186	84.057
74014	76584	18	0.9428	132.079
62479	66078	18	0.9135	13.979
41633	42307	18	0.7873	17.027
40794	41633	18	0.9381	-44.026
69606	71003	18	0.9779	-44.026
69606	71385	18	0.9585	-88.053
69606	78666	18	0.9153	-14.016
71003	71385	18	0.9851	-44.026
68931	69164	18	0.9423	176.105
68949	69164	18	0.9579	132.079
68979	69164	18	0.9732	88.052
68276	68949	18	0.9827	176.105
68931	68949	18	0.9946	44.026
68949	68979	18	0.9923	44.026
58843	62888	18	0.8285	-156.078
62888	64112	18	0.8835	30.010
62888	65216	18	0.8522	-58.042
66464	68931	18	0.9759	176.105
68276	68931	18	0.9909	132.079
68931	68979	18	0.9875	88.053
76553	78666	18	0.8479	146.058
68942	76553	18	0.8972	-28.032
62479	64248	18	0.9702	88.052
64112	64248	18	0.9733	132.078
64248	65185	18	0.9858	44.026
64248	67049	18	0.9451	88.053
64248	68942	18	0.9892	-44.026
62479	64112	18	0.9937	-44.026
64112	65185	18	0.9593	176.105
64112	68942	18	0.9828	88.053
67049	68942	18	0.9367	-132.079
62479	67049	18	0.9324	176.105
65185	67049	18	0.971	44.027
63582	66289	18	0.8817	-44.026
63215	65216	18	0.983	88.053
66464	68276	18	0.9854	44.026
62479	65185	18	0.964	132.078
62479	68942	18	0.9911	44.026
65185	68942	18	0.9716	-88.052
35288	50882	18	0.9849	44.027
33678	58383	19	0.8877	-17.987
58383	64411	19	0.7009	18.969
59184	71173	20	0.973	-14.015
59184	75468	20	0.9631	-14.018
71173	75468	20	0.9792	-0.003
34244	37925	21	0.9516	-44.028
35115	37925	21	0.9413	17.026
36873	37925	21	0.9399	-27.001
37925	38180	21	0.9394	-61.052
37925	44225	21	0.9465	-149.105
37925	44257	21	0.9377	159.079
37925	44429	21	0.9429	-17.026
25007	37925	21	0.9367	-71.027
26850	37925	21	0.9397	-115.053
34244	35115	21	0.938	-61.053
34244	36873	21	0.9394	-17.027
34244	38180	21	0.9345	-105.080
34244	44225	21	0.9354	-193.132
34244	44257	21	0.9357	115.051
34244	44429	21	0.9404	-61.053
25007	34244	21	0.9313	-26.999
26850	34244	21	0.937	-71.025
35115	36873	21	0.9934	44.026
35115	38180	21	0.9854	-44.026
35115	44225	21	0.9856	-132.079
35115	44257	21	0.9729	176.105
35115	44429	21	0.9854	-0.000
25007	35115	21	0.991	-88.052
26850	35115	21	0.9839	-132.079
36873	44429	21	0.9861	-44.026
38180	44429	21	0.9809	44.026
25007	44429	21	0.9829	-88.052
26850	44429	21	0.9785	-132.079
44225	44429	21	0.9853	132.079
44257	44429	21	0.9703	-176.105
36873	44257	21	0.9785	132.078
25007	44257	21	0.9806	88.052
26850	44257	21	0.9855	44.026
25007	26850	21	0.9909	44.026
